[2026-07-28T03:26:37.274Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-28T03:26:37.283Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-28T03:26:37.285Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-28T03:26:37.289Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-28T03:26:37.291Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-28T03:26:37.293Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-28T03:26:37.294Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-28T03:26:37.296Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-28T03:26:37.298Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-28T03:26:37.308Z] [INFO] Daemon started (PID: 38080, CPUs: 14, workers: 7, maxCpuLoad: 11.200000000000001, minFreeMemoryPercent: 10%)
[2026-07-28T03:26:37.317Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T03:26:37.332Z] [INFO] Worker map completed in 20ms
[2026-07-28T03:28:37.295Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T03:28:37.297Z] [INFO] Worker audit completed in 5ms
[2026-07-28T03:30:37.306Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T03:30:37.309Z] [INFO] Worker optimize completed in 8ms
[2026-07-28T03:32:37.298Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T03:32:37.304Z] [INFO] Consolidate worker: distillation skipped (better-sqlite3 unavailable)
[2026-07-28T03:32:37.307Z] [INFO] Worker consolidate completed in 12ms
[2026-07-28T03:34:37.307Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T03:34:37.313Z] [INFO] Worker testgaps completed in 11ms
[2026-07-28T03:36:37.310Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-28T03:36:37.321Z] [INFO] Worker backup completed in 16ms
[2026-07-28T03:38:37.307Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-28T03:38:37.388Z] [INFO] Worker harness completed in 86ms
[2026-07-28T03:38:37.407Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T03:38:37.412Z] [INFO] Worker audit completed in 17ms
[2026-07-28T03:41:37.350Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T03:41:37.352Z] [INFO] Worker map completed in 5ms
[2026-07-28T03:45:37.330Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T03:45:37.331Z] [INFO] Worker optimize completed in 5ms
[2026-07-28T03:48:37.434Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T03:48:37.438Z] [INFO] Worker audit completed in 8ms
[2026-07-28T03:54:37.331Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T03:54:37.333Z] [INFO] Worker testgaps completed in 6ms
[2026-07-28T03:56:37.361Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T03:56:37.362Z] [INFO] Worker map completed in 5ms
[2026-07-28T03:58:37.453Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T03:58:37.457Z] [INFO] Worker audit completed in 9ms
[2026-07-28T04:00:37.349Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T04:00:37.351Z] [INFO] Worker optimize completed in 5ms
[2026-07-28T04:02:37.313Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T04:02:37.318Z] [INFO] Consolidate worker: distillation skipped (better-sqlite3 unavailable)
[2026-07-28T04:02:37.321Z] [INFO] Worker consolidate completed in 11ms
[2026-07-28T04:08:37.471Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T04:08:37.477Z] [INFO] Worker audit completed in 12ms
[2026-07-28T04:11:37.378Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T04:11:37.382Z] [INFO] Worker map completed in 8ms
[2026-07-28T04:14:37.353Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T04:14:37.356Z] [INFO] Worker testgaps completed in 7ms
[2026-07-28T04:15:37.365Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T04:15:37.367Z] [INFO] Worker optimize completed in 5ms
